Date,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,NFLX,ADBE,ORCL,CSCO,INTC,AMD,TXN,IBM,QCOM,SAP,CRM,PYPL,SHOP,WMT,HD,COST,TGT,MCD,SBUX,KO,PEP,PG,CL,JNJ,PFE,MRK,ABBV,LLY,AMGN,GILD,BIIB,CVS,CI,JPM,BAC,C,GS,MS,WFC,AXP,COF,BLK,TROW,XOM,CVX,COP,PSX,BP,SLB,HAL,OXY,EOG,UNP,CSX,NSC,FDX,UPS,CAT,DE,GE,BA,DIS,CMCSA,SONY,WBD,TMUS,VZ,T,CHTR,NKE,ADDYY,LULU,RL,HOG,GM,F,RIVN,PLUG,BE,ENPH,SEDG,RUN,BLDP,FCEL,MAXN,NOVA
11/26/2021,-0.031678567,-0.024355668,-0.026943514,-0.021184702,-0.030537595,-0.02328028,-0.035838776,0.011165348,-0.009306966,-0.013357534,-0.015664497,-0.019694522,-0.01894807,-0.027582647,-0.007881603,-0.027502696,-0.022295428,-0.017152546,-0.004875276,-0.031927286,-0.011191622,-0.022833575,-0.006548788,-0.008803624,-0.02761446,-0.029042786,-0.030669213,-0.01587888,-0.008004744,-0.00900222,-0.006490412,0.061112393,-0.037919161,-0.018119051,-0.00622141,-0.014119721,0.002854582,-0.028905013,-0.012196375,-0.040602025,-0.030127195,-0.039260966,-0.026456564,-0.024549575,-0.03154666,-0.056129554,-0.086183752,-0.042987179,-0.031244473,-0.024362021,-0.0351293,-0.022868718,-0.044768097,-0.062542247,-0.061121362,-0.054441282,-0.067614186,-0.072164836,-0.060505012,-0.02761577,-0.018758358,-0.029267898,-0.022252418,-0.0152062,-0.040276182,-0.023269934,-0.042942359,-0.054083566,-0.021342703,-0.015034813,-0.007772771,-0.017878457,-0.008298405,0.002710062,-0.01021677,0.000267572,-0.023310047,-0.048794967,-0.002795612,-0.042122692,-0.036330777,-0.032481107,-0.024691459,-0.023683076,-0.061990209,-0.037402945,-0.030105871,-0.020230101,-0.039700205,-0.036455055,-0.061909696,-0.050898204,-0.041437235
11/29/2021,0.021873843,0.021081382,0.023543615,0.016267433,0.050900228,0.014739256,0.059454564,-0.002704146,0.038347705,0.006606823,0.019937831,0.025010057,0.045862711,0.032508173,0.023227784,0.045521737,0.017217611,0.04408708,-0.002928739,-0.00613942,-0.015665904,0.010230749,0.016021834,0.010504124,0.001159912,0.000632661,0.01581967,0.018617432,0.010510609,0.008434927,0.003454925,-0.029629842,-0.05394148,0.003261512,-0.021277237,0.011835592,0.005407622,-0.027953864,0.005463296,-0.011978405,-0.004322741,-0.003715125,-0.007022983,-0.007319293,-0.007147957,0.015073226,0.006631746,-0.01434718,0.029235575,0.021614453,0.005551068,0.002969071,0.009372978,0.008808575,0.008474881,-0.001683434,0.027713639,0.012121179,0.011095809,-0.001376186,0.004030556,-0.003374556,0.010161707,-0.003214636,-0.014139714,-0.031199461,0.005723635,-0.003564112,-0.002025528,0.008414846,0.001401771,-0.005258866,-0.001144958,-0.002702737,-0.013625003,-0.00695527,0.01101068,0.002644864,0.014630565,0.02310407,0.007219039,-0.005151931,-0.004050565,0.068135196,0.034037241,0.005131942,0.037547463,0.016898984,0.009491685,0,-0.002237159,-0.01787592,0.029001406
11/30/2021,0.031577567,-0.01794269,-0.024963819,-0.015302274,0.006833823,-0.040144283,-0.020973119,-0.033050135,-0.025658577,-0.023671451,-0.016499197,-0.015999937,-0.021864051,-0.010340679,-0.011814198,-0.017307042,-0.033777076,-0.039697953,-0.012550769,-0.028863672,-0.014022314,-0.015264909,-0.027933968,-0.02135185,-0.017354883,-0.009843867,-0.031572996,-0.02656273,-0.029794711,-0.034615733,-0.0239124,0.02538178,0.000267226,-0.013773564,-0.026645326,-0.0225588,-0.024345539,-0.001567046,-0.032166914,-0.038625346,-0.014885538,-0.024566711,-0.0206026,-0.014358132,-0.024786646,-0.028071449,-0.035221093,-0.044143658,-0.025204892,-0.034151226,-0.028413749,-0.017239733,-0.027997289,-0.009876863,-0.008403661,-0.02861994,-0.029663016,-0.013639422,-0.015725915,-0.015952606,-0.02695102,-0.01291223,-0.042399448,-0.030639296,-0.013117639,-0.007325804,-0.034654405,-0.003274528,-0.01968751,-0.030079687,0.003376282,-0.053680345,-0.040476306,-0.026906569,-0.044369936,-0.032790034,-0.003708597,0.003818227,-0.019103756,-0.0258563,-0.027607998,-0.033244337,-0.024402647,-8.34E-05,-0.042527643,0.002188164,-0.026138412,-0.05601792,-0.038027574,-0.011089372,-0.026905875,-0.023019272,-0.017016734
12/1/2021,-0.003206171,-0.001542581,-0.005962103,-0.018063487,-0.043467635,-0.042717116,-0.037861164,-0.037591531,-0.018571326,-0.01091015,0.003464454,-0.012195053,-0.058470637,-0.003170835,-0.001537261,-0.023626825,0.010666411,-0.117420049,-0.030125978,-0.040794116,-0.024816743,0.003659909,-0.017686919,-0.014148628,-0.001717138,-0.008938163,-0.002859917,0.002378149,0.01258823,0.004932086,0.013788297,0.01768102,-0.006274083,0.005464982,0.004394498,0.009654259,0,-0.026469862,-0.003143998,0.014695203,-0.005918292,-0.014166847,-0.018524461,-0.006622798,0.004640601,-0.011929672,-0.014707798,-0.015370395,-0.004731314,-0.019604845,-0.000835368,-0.006822152,-0.013260807,-0.007228942,-0.008474457,-0.010460241,-0.020379749,-0.023608584,-0.018965482,-0.010142489,-0.006347426,0.014287356,-0.011242803,-0.021273196,-0.009723385,-0.011546989,-0.020949609,-0.048824884,-0.018978651,-0.018007061,-0.020353015,-0.043403533,-0.019207752,-0.00994635,-0.026281316,-0.018691614,-0.015008405,0.002766201,-0.013159946,0.003533282,0,0.00328317,0.020323198,-0.033984633,-0.078795471,-0.066957794,-0.052559998,-0.03877844,-0.071676785,-0.069261227,-0.08179719,-0.070684932,-0.050040634
12/2/2021,-0.006129702,-0.001787598,0.013573083,-0.001846889,-0.009497739,-0.000676148,0.021981843,-0.002104422,0.022010667,0.002673997,0.020352636,0.018518539,0.010529086,0.00949112,-0.000171028,0.007971431,0.002773258,0.038568737,0.04366488,-0.008604427,-0.012177444,0.018355482,-0.008172412,0.02125723,0.018920545,0.0254003,0.014722672,0.00964906,0.005873947,0.00119377,-0.006262567,-0.029992699,-0.007388614,0.008282385,-0.005017511,0.001842451,0.010735724,-0.004270134,0.013629158,0.015766234,0.021027079,0.028879251,0.020633566,0.029377439,0.03779118,0.03600927,0.044715505,0.036062939,0.020570285,0.029026108,0.024920341,0.027118705,0.029768552,0.039464583,0.051282093,0.033121894,0.041134824,0.024179426,0.014177005,0.02928181,0.03281063,0.036274681,0.033014405,0.029616195,0.027785027,0.026555365,0.023978438,0.075402531,0.03552599,0.049307111,0.006617964,0.044474383,0.034107913,0.01928892,0.036887013,0.057079804,0.019796098,0.001241265,0.005017506,0.0231001,0.020475004,0.050981906,0.014810989,-0.042527493,-0.00789978,0.022230878,-0.007852743,0.011077673,-0.01006084,-0.007087132,0.022584666,0.011792453,-0.011958946
12/3/2021,-0.011724551,-0.019666578,-0.006746323,-0.013839076,-0.064198761,-0.011437303,-0.044605502,-0.023261418,-0.082380745,-0.019446523,0.001424634,-0.005050386,-0.044265984,-0.0010332,0.016595421,-0.002937685,-0.009141888,-0.011026063,-0.017205457,-0.025671122,0.015058503,9.82E-05,0.006508131,0.008431802,0.002130024,-0.001615662,0.008856363,0.025463734,0.017792014,0.017090669,0.014577625,0.023190036,-0.007443612,0.016941805,-0.00927873,0.006313281,-0.001579049,-0.020129555,0.009778795,0.010465658,-0.018112935,-0.022722266,-0.016455181,-0.012411722,-0.006574906,-0.023717087,-0.005294311,-0.010184403,-0.020982859,-0.03033893,-0.006364158,-0.006340038,-0.002104824,-0.019333497,-0.005543365,-0.002728529,-0.000908354,-0.016526122,-0.00658528,0.001457819,0.007590688,0.008679168,0.023544361,0.00415194,0.005132424,-0.003935918,-0.025832108,-0.019221263,-0.006657644,0.00543685,-0.001165019,0.031827947,0.021837678,0.013601109,0.01778755,0.013275601,0.003211535,-0.02383233,-0.033194266,-0.024928624,-0.023274511,-0.021468437,-0.036738972,-0.05506905,-0.081274004,-0.056848524,-0.076170187,-0.036227815,-0.055778788,-0.055674566,-0.105521485,-0.004662005,-0.05734875
12/6/2021,0.021502657,0.009844791,0.008123148,0.011086219,-0.005872086,0.035947169,-0.021372917,0.017537737,0.008937032,0.007933111,0.012982476,0.035329966,-0.034372593,0.006360531,0.009003727,-0.006005269,0.02798883,0.001664487,0.005056315,0.012851039,0.010835663,0.019347113,0.008072749,-0.018580542,0.025909531,0.019058073,0.025588071,0.010382018,0.01514542,0.02357696,0.022336552,-0.051409622,0.001090701,0.021034852,0.003054038,0.031367209,-0.000862498,0.000848528,0.019588502,0.038871669,0.011813952,0.006382471,-0.003824175,0.017166253,0.010793223,0.022199111,0.03039618,0.028470761,0.001407278,0.008844508,0.011332092,0.015645395,0.02390696,0.015285973,0.015607829,0.026333804,0.026363653,0.023319643,0.018374302,0.023416326,0.025669845,0.021298775,0.017480589,0.00662589,0.017593666,0.015089863,0.034925021,0.037231091,0.028381895,0.011008225,0.008165411,0.017090448,0.02536132,-0.006806419,-0.007672469,-0.009347822,-0.007812396,0.016511347,-0.027953715,0.055005585,0.032045955,0.002177218,0.004179719,0.11569696,0.017633,-0.010922272,-0.019161693,0.002052133,0.010012458,0.025699181,-0.012345665,0.030444965,0.003974353
12/7/2021,0.035446266,0.026763629,0.028741591,0.027986504,0.042358371,0.015540848,0.07956827,0.021038396,0.044884646,0.012480259,0.019662944,0.030986384,0.041636766,0.022711949,0.013927093,0.047136047,0.014405317,0.031845536,0.033322534,0.064693434,-0.003237337,0.001154807,0.016541688,0.010947908,0.016106852,0.025582079,0.005463659,-0.001141748,-0.002629186,-0.009799087,0.002577458,0.004661928,-0.015527115,0.001318563,-0.004952767,0.012117285,0.002158573,0.012136902,0.003022265,0.00667986,0.015047263,0.012684081,0.006077953,0.027767686,0.032537467,0.029502016,0.039021498,0.018089553,0.027010158,0.034915926,0.011204908,0.014802146,0.024172086,0.019839503,0.007683702,0.024991679,0.036315398,0.042895413,0.034144121,0.005730528,0.008977221,0.000800583,0.008202355,0.016480224,0.015947751,0.019266208,0.01604004,0.01432872,0.002926098,-0.052912941,0.031074359,-0.007377062,0.01314533,-0.00548292,-0.008591055,-0.033212031,0.01409014,0.035124223,0.026939612,0.015992117,0.02158286,0.028241816,0.038501523,-0.005137853,0.069603494,0.051124743,0.045177022,0.05916192,0.085997555,0.053058238,0.048611111,0.047159091,0.027710105
12/8/2021,0.022783026,0.000149198,0.006226568,-3.69E-05,0.016363196,0.024007964,-0.018533729,0.003996291,0.004830995,-0.012326422,-0.01825078,-0.015598219,0.002692436,-0.013264166,0.011844139,-0.005932998,0.000148641,-0.002547054,0.0331379,-0.000144609,-0.010104599,-0.011845919,-0.021973588,-0.024549245,-0.001269456,-8.60E-05,-0.00380359,0.001744692,0.00448103,-0.000642497,0.00599922,-0.006187004,0.012866715,0.002962683,-0.003223007,0.01045825,0.000861073,0.034783756,0.001829131,0.001634746,-0.011440956,-0.01230157,-0.006994963,-0.006973129,-0.012195069,-0.016716282,0.011859721,0.001548137,0.003192392,-0.002693108,0.002890609,0.004494417,-0.006168495,-0.00869207,-0.001452296,0.009752851,0.018625609,-0.011246856,-0.005300109,0.000525191,-0.003774545,-0.003339662,-0.009349987,-0.00326208,-0.001467005,-0.000774921,0.007483336,0.01053487,0.016776127,-0.012908661,0.009458072,-0.0078447,-0.020486479,-0.00590653,0.003899262,-0.013110926,-0.006071323,0.000536618,-0.020577105,-0.00281079,-0.010954849,-0.012189187,-0.007515051,0.051127582,0.004942348,-0.016731529,0.013704184,0.014516807,0.019625756,0.01119663,0.007947033,-0.012479653,-0.022518469
12/9/2021,-0.002970028,-0.00558267,-0.003697938,-0.011279644,-0.060956446,-0.002238484,-0.041978317,-0.027194014,-0.031434649,-0.001911686,0.009295105,-0.024541159,-0.049160005,-0.015224889,0.004470632,-0.002025978,-0.012340096,-0.007472366,-0.028376012,-0.01666795,0.01390931,0.000218849,-0.010903017,-0.008514239,0.010632362,-0.007741965,-0.002545433,-0.001261102,0.0058392,0.003086539,0.009492426,0.013229553,-0.004780532,0.018708538,-0.005812102,-0.004495907,0.008463839,-0.009756342,0.045220215,0.014353555,-0.001555673,0.00747287,-0.005123413,-0.00208901,-0.006617303,0.00566685,-0.005386787,0.00241943,-0.005173764,-0.020916017,0.002562123,-0.00261712,-0.021050224,0.006262976,-0.01236375,-0.014166018,-0.01261043,-0.016905016,-0.013321529,-0.001413609,-0.00920199,0.001570726,0.002043107,0.008890304,-0.000293816,0.002381893,-0.004578746,-0.016443166,-0.002608657,-0.023089527,-0.024535472,-0.018726623,-0.006623171,-0.006536161,-0.009926527,-0.04687968,-0.0126287,-0.023257446,-0.021314522,-0.012160647,-0.023733978,-0.019085165,-0.012115009,-0.05502785,-0.059562852,-0.045904227,-0.041044255,-0.051972389,-0.056848722,-0.068512096,-0.078843626,-0.081318681,-0.030009143
